actor,name,year,variable,type,BirthYear,gender,age
李欣汝,丑女无敌 第一季,2008,actor1,drama,1988,女,20
李亚鹏,天下第一,2005,actor1,drama,1971,男,34
李砚,最好的我们,2016,actor5,drama,1994,男,22
李依晓,甜蜜蜜,2007,actor4,drama,1984,女,23
李易峰,古剑奇谭,2014,actor2,drama,1987,男,27
李易峰,盗墓笔记 第一季,2015,actor1,drama,1987,男,28
李幼斌,闯关东,2008,actor1,drama,1958,男,50
李幼斌,亮剑,2005,actor1,drama,1958,男,47
连凯,遇见王沥川,2016,actor3,drama,1969,男,47
连奕名,血色浪漫,2004,actor3,drama,1972,男,32
练束梅,恰同学少年,2007,actor5,drama,1983,女,24
梁冠华,贫嘴张大民的幸福生活,2000,actor1,drama,1964,男,36
梁冠华,神探狄仁杰,2004,actor1,drama,1964,男,40
梁冠华,神探狄仁杰3,2008,actor1,drama,1964,男,44
梁静,好想好想谈恋爱,2004,actor2,drama,1972,女,32
梁静,夫妻那些事,2012,actor3,drama,1972,女,40
梁椰雯,灵魂摆渡,2014,actor4,drama,1988,女,26
梁缘,白夜追凶,2017,actor3,drama,1993,女,24
林芳兵,白发魔女,1999,actor5,drama,1965,女,34
林更新,步步惊心,2011,actor5,drama,1988,男,23
林更新,舞乐传奇,2013,actor2,drama,1988,男,25
林湘萍,宝莲灯,2005,actor4,drama,1976,女,29
林心如,半生缘,2002,actor1,drama,1976,女,26
林心如,少年张三丰,2001,actor5,drama,1976,女,25
林心如,情深深雨濛濛,2001,actor3,drama,1976,女,25
林心如,男才女貌,2003,actor1,drama,1976,女,27
林心如,还珠格格第二部,1999,actor5,drama,1976,女,23
林心如,美人心计,2010,actor1,drama,1976,女,34
林依晨,兰陵王,2013,actor2,drama,1982,女,31
林依晨,天外飞仙,2006,actor2,drama,1982,女,24
林依晨,射雕英雄传,2008,actor2,drama,1982,女,26
林永健,金婚,2007,actor4,drama,1969,男,38
林永健,黎明之前,2010,actor2,drama,1969,男,41
林佑威,遇见王沥川,2016,actor4,drama,1977,男,39
林雨申,媳妇的美好时代,2009,actor5,drama,1980,男,29
林志颖,天龙八部,2003,actor2,drama,1974,男,29
林志颖,绝代双骄,1999,actor1,drama,1974,男,25
刘大刚,西游记续集,2000,actor5,drama,1947,男,53
刘德凯,孝庄秘史,2002,actor3,drama,1953,男,49
刘冠翔,水浒传,2011,actor4,drama,1980,男,31
刘冠翔,宝莲灯,2005,actor5,drama,1980,男,25
刘昊然,最好的我们,2016,actor1,drama,1997,男,19
刘昊然,琅琊榜之风起长林,2017,actor2,drama,1997,男,20
刘金山,地下交通站,2007,actor3,drama,1963,男,44
刘金山,闲人马大姐,2000,actor5,drama,1963,男,37
刘金山,婚姻保卫战,2010,actor5,drama,1963,男,47
刘淼,康熙微服私访记2,1999,actor5,drama,1981,女,18
刘淼,康熙微服私访记3,2000,actor4,drama,1981,女,19
刘敏涛,伪装者,2015,actor3,drama,1976,女,39
刘佩琦,大宅门,2001,actor2,drama,1958,男,43
刘佩琦,十八岁的天空,2002,actor4,drama,1958,男,44
刘品言,仙剑奇侠传,2005,actor4,drama,1988,女,17
刘若英,似水年华,2003,actor2,drama,1970,女,33
刘若英,新结婚时代,2006,actor4,drama,1970,女,36
刘若英,粉红女郎,2003,actor1,drama,1970,女,33
刘若英,双响炮,2004,actor3,drama,1970,女,34
刘诗诗,轩辕剑之天之痕,2012,actor3,drama,1987,女,25
刘诗诗,步步惊心,2011,actor1,drama,1987,女,24
刘诗诗,射雕英雄传,2008,actor4,drama,1987,女,21
刘诗诗,仙剑奇侠传三,2009,actor5,drama,1987,女,22
刘诗诗,怪侠一枝梅,2010,actor2,drama,1987,女,23
刘涛,芈月传,2015,actor2,drama,1978,女,37
刘涛,欢乐颂,2016,actor1,drama,1978,女,38
刘涛,琅琊榜,2015,actor2,drama,1978,女,37
刘涛,大军师司马懿之军师联盟,2017,actor2,drama,1978,女,39
刘天佐,盗墓笔记 第一季,2015,actor3,drama,1979,男,36
刘晓虎,丑女无敌 第一季,2008,actor2,drama,1975,男,33
刘晓虎,水浒传,2011,actor3,drama,1975,男,36
刘雪华,陆贞传奇,2013,actor4,drama,1959,女,54
刘烨,拿什么拯救你，我的爱人,2002,actor1,drama,1978,男,24
刘烨,北平无战事,2014,actor1,drama,1978,男,36
刘烨,血色浪漫,2004,actor1,drama,1978,男,26
刘亦菲,神雕侠侣,2006,actor1,drama,1987,女,19
刘亦菲,天龙八部,2003,actor5,drama,1987,女,16
刘亦菲,金粉世家,2003,actor3,drama,1987,女,16
刘亦菲,仙剑奇侠传,2005,actor2,drama,1987,女,18
刘奕君,扶摇,2018,actor3,drama,1970,男,48
刘智扬,灵魂摆渡,2014,actor3,drama,1988,男,26
柳岩,屌丝男士 第一季,2012,actor2,drama,1980,女,32
柳云龙,暗算,2006,actor1,drama,1968,男,38
六小龄童,西游记续集,2000,actor1,drama,1959,男,41
娄艺潇,爱情公寓,2009,actor3,drama,1988,女,21
娄艺潇,爱情公寓3,2012,actor1,drama,1988,女,24
娄艺潇,爱情公寓2,2011,actor1,drama,1988,女,23
娄艺潇,爱情公寓4,2014,actor1,drama,1988,女,26
卢勇,大秦帝国之裂变,2009,actor3,drama,1958,男,51
陆剑民,黎明之前,2010,actor3,drama,1963,男,47
陆剑民,贞观之治,2006,actor5,drama,1963,男,43
陆毅,少年包青天Ⅱ,2001,actor1,drama,1976,男,25
陆毅,粉红女郎,2003,actor4,drama,1976,男,27
陆毅,人民的名义,2017,actor1,drama,1976,男,41
陆毅,男才女貌,2003,actor2,drama,1976,男,27
陆毅,像雾像雨又像风,2001,actor4,drama,1976,男,25
陆毅,三国,2010,actor2,drama,1976,男,34
陆毅,我的青春谁做主,2009,actor1,drama,1976,男,33
鹿晗,甜蜜暴击,2018,actor1,drama,1990,男,28
路嘉欣,转角遇到爱,2007,actor5,drama,1979,女,28
罗海琼,大宋提刑官,2005,actor2,drama,1973,女,32
罗海琼,好想好想谈恋爱,2004,actor3,drama,1973,女,31
罗海琼,像雾像雨又像风,2001,actor2,drama,1973,女,28
罗珊珊,我们无处安放的青春,2007,actor5,drama,1983,女,24
罗云熙,香蜜沉沉烬如霜,2018,actor4,drama,1988,男,30
罗志祥,转角遇到爱,2007,actor2,drama,1979,男,28
闾汉彪,西游记后传,2000,actor2,drama,1971,男,29
吕行,刁蛮公主,2006,actor4,drama,1978,男,28
吕良伟,水浒传,2011,actor2,drama,1956,男,55
吕小品,闲人马大姐,2000,actor4,drama,1971,男,29
吕小品,东北一家人,2002,actor5,drama,1971,男,31
吕晓霖,白夜追凶,2017,actor4,drama,1984,女,33
